station,jaar,erosiviteit
KMI_6408,2002,2701.74515045333
KMI_6408,2003,653.1294306762976
KMI_6408,2004,741.2478162081662
KMI_6408,2005,1102.3181324900397
KMI_6414,2004,1412.1838200169936
KMI_6414,2005,2982.844755699004
KMI_6414,2006,1251.5794774149017
KMI_6414,2007,1686.0040851551014
KMI_6414,2008,1360.839866946452
KMI_6414,2009,2688.3202826946767
KMI_6414,2010,1300.2873688282689
KMI_6414,2012,1292.4261830368039
KMI_6414,2013,1147.0776596906182
KMI_6414,2014,1626.0194375841818
KMI_6414,2015,1179.806556088134
KMI_6414,2016,1260.0760177940354
KMI_6414,2017,834.3429414988124
KMI_6414,2018,570.5233000625417
KMI_6414,2019,1062.0361784867448
KMI_6414,2020,556.8165287074002
KMI_6414,2021,1504.7875988860153
KMI_6414,2022,531.250826202672
KMI_6414,2023,992.6222100732758
KMI_6414,2024,871.6670577172159
KMI_6418,2006,1154.9919554287446
KMI_6418,2007,1025.4151227756572
KMI_6418,2008,824.1811210559251
KMI_6418,2009,1204.656793312037
KMI_6418,2010,1237.338096747391
KMI_6418,2011,643.0266354328692
KMI_6418,2012,932.493402617361
KMI_6418,2013,1429.423653717084
KMI_6418,2014,978.3397910261034
KMI_6418,2015,1191.2580728171195
KMI_6418,2016,424.6747595379154
KMI_6418,2017,1021.5545806345679
KMI_6418,2018,541.2274763629842
KMI_6418,2019,444.67308542193723
KMI_6418,2020,585.2949141617646
KMI_6418,2021,1430.8294530886285
KMI_6418,2022,438.28177629311483
KMI_6418,2023,464.23509605992757
KMI_6418,2024,688.3021308668867
KMI_6431,2013,1089.3705510783416
KMI_6431,2014,1550.9826524689322
KMI_6431,2015,1002.0151294387416
KMI_6431,2016,855.2946039561432
KMI_6431,2017,828.9207130599267
KMI_6434,2003,563.3423152001754
KMI_6434,2004,1152.127455707292
KMI_6434,2005,1487.7661556725438
KMI_6434,2006,2182.4006683044763
KMI_6434,2007,1944.951175062064
KMI_6434,2008,934.9327147820089
KMI_6434,2009,1300.3666965219147
KMI_6434,2011,1198.1498640220193
KMI_6434,2012,1508.7086965264157
KMI_6434,2013,2253.4592648798557
KMI_6434,2014,1990.257532938323
KMI_6434,2015,1120.3862011814542
KMI_6434,2016,1974.941189632423
KMI_6434,2017,838.8241693894624
KMI_6434,2018,1130.1623098230434
KMI_6434,2019,897.6848972434573
KMI_6434,2020,983.7632999365514
KMI_6434,2021,2279.276771713889
KMI_6434,2022,1423.4686849582458
KMI_6434,2023,1201.2047545902024
KMI_6434,2024,1038.7040263775282
KMI_6438,2013,1657.132281417986
KMI_6438,2014,1317.3102303042972
