station,jaar,maand_id,maand,erosiviteit
KMI_6414,2006,2,Februari,46.07
KMI_6414,2006,3,Maart,95.39
KMI_6414,2006,4,April,18.53
KMI_6414,2006,5,Mei,147.89
KMI_6414,2006,6,Juni,20.42
KMI_6414,2006,7,Juli,117.99
KMI_6414,2006,8,Augustus,565.07
KMI_6414,2006,9,September,7.48
KMI_6414,2006,10,Oktober,102.26
KMI_6414,2006,11,November,58.55
KMI_6414,2006,12,December,65.53
KMI_6414,2007,1,Januari,43.73
KMI_6414,2007,2,Februari,32.84
KMI_6414,2007,3,Maart,30.34
KMI_6414,2007,4,April,0.0
KMI_6414,2007,5,Mei,32.94
KMI_6414,2007,6,Juni,806.93
KMI_6414,2007,7,Juli,437.55
KMI_6414,2007,8,Augustus,53.2
KMI_6414,2007,9,September,142.95
KMI_6414,2007,10,Oktober,57.3
KMI_6414,2007,11,November,18.76
KMI_6414,2007,12,December,29.46
KMI_6414,2008,1,Januari,34.72
KMI_6414,2008,2,Februari,34.76
KMI_6414,2008,3,Maart,42.61
KMI_6414,2008,4,April,9.06
KMI_6414,2008,5,Mei,231.66
KMI_6414,2008,6,Juni,115.67
KMI_6414,2008,7,Juli,273.44
KMI_6414,2008,8,Augustus,286.74
KMI_6414,2008,9,September,198.77
KMI_6414,2008,10,Oktober,28.32
KMI_6414,2008,11,November,67.26
KMI_6414,2008,12,December,37.83
KMI_6414,2009,1,Januari,24.64
KMI_6414,2009,2,Februari,28.1
KMI_6414,2009,3,Maart,109.18
KMI_6414,2009,4,April,23.46
KMI_6414,2009,5,Mei,1443.57
KMI_6414,2009,6,Juni,278.73
KMI_6414,2009,7,Juli,169.22
KMI_6414,2009,8,Augustus,3.86
KMI_6414,2009,9,September,19.41
KMI_6414,2009,10,Oktober,325.37
KMI_6414,2009,11,November,233.96
KMI_6414,2009,12,December,28.82
KMI_6414,2010,1,Januari,14.21
KMI_6414,2010,2,Februari,27.74
KMI_6414,2010,3,Maart,61.41
KMI_6414,2010,4,April,26.47
KMI_6414,2010,5,Mei,31.09
KMI_6414,2010,6,Juni,53.4
KMI_6414,2010,7,Juli,350.51
KMI_6414,2010,8,Augustus,387.14
KMI_6414,2010,9,September,186.11
KMI_6414,2010,10,Oktober,48.32
KMI_6414,2010,11,November,104.25
KMI_6414,2010,12,December,9.64
KMI_6414,2012,1,Januari,28.81
KMI_6414,2012,2,Februari,2.81
KMI_6414,2012,3,Maart,59.63
KMI_6414,2012,4,April,71.79
KMI_6414,2012,5,Mei,83.69
KMI_6414,2012,6,Juni,140.25
KMI_6414,2012,7,Juli,605.15
KMI_6414,2012,8,Augustus,8.4
KMI_6414,2012,9,September,24.78
KMI_6414,2012,10,Oktober,156.09
KMI_6414,2012,11,November,43.92
KMI_6414,2012,12,December,67.1
KMI_6414,2013,1,Januari,31.05
KMI_6414,2013,2,Februari,16.84
KMI_6414,2013,3,Maart,28.92
KMI_6414,2013,4,April,4.3
KMI_6414,2013,5,Mei,74.04
KMI_6414,2013,6,Juni,19.12
KMI_6414,2013,7,Juli,210.64
KMI_6414,2013,8,Augustus,280.96
KMI_6414,2013,9,September,186.37
KMI_6414,2013,10,Oktober,208.78
KMI_6414,2013,11,November,71.91
KMI_6414,2013,12,December,14.15
KMI_6414,2014,1,Januari,33.26
KMI_6414,2014,2,Februari,26.75
KMI_6414,2014,3,Maart,17.92
KMI_6414,2014,4,April,34.16
KMI_6414,2014,5,Mei,128.18
KMI_6414,2014,6,Juni,430.33
KMI_6414,2014,7,Juli,657.58
KMI_6414,2014,8,Augustus,83.09
KMI_6414,2014,9,September,2.42
KMI_6414,2014,10,Oktober,69.78
KMI_6414,2014,11,November,90.35
KMI_6414,2014,12,December,52.2
KMI_6414,2015,1,Januari,106.4
KMI_6414,2015,2,Februari,14.67
KMI_6414,2015,3,Maart,14.51
KMI_6414,2015,4,April,6.78
KMI_6414,2015,5,Mei,56.35
KMI_6414,2015,6,Juni,12.06
KMI_6414,2015,7,Juli,64.79
KMI_6414,2015,8,Augustus,657.43
KMI_6414,2015,9,September,120.82
KMI_6414,2015,10,Oktober,11.56
KMI_6414,2015,11,November,90.62
KMI_6414,2015,12,December,23.82
KMI_6414,2016,1,Januari,73.81
KMI_6414,2016,2,Februari,27.61
KMI_6414,2016,3,Maart,58.84
KMI_6414,2016,4,April,32.84
KMI_6414,2016,5,Mei,631.63
KMI_6414,2016,6,Juni,93.52
KMI_6414,2016,7,Juli,52.76
KMI_6414,2016,8,Augustus,34.45
KMI_6414,2016,9,September,47.73
KMI_6414,2016,10,Oktober,78.24
KMI_6414,2016,11,November,123.76
KMI_6414,2016,12,December,4.89
KMI_6414,2017,1,Januari,33.15
KMI_6414,2017,2,Februari,28.6
KMI_6414,2017,3,Maart,21.51
KMI_6414,2017,4,April,4.69
KMI_6414,2017,5,Mei,309.85
KMI_6414,2017,6,Juni,2.62
KMI_6414,2017,7,Juli,16.14
KMI_6414,2017,8,Augustus,120.02
KMI_6414,2017,9,September,35.24
KMI_6414,2017,10,Oktober,28.89
KMI_6414,2017,11,November,121.2
KMI_6414,2017,12,December,112.4
KMI_6414,2018,1,Januari,49.19
KMI_6414,2018,2,Februari,4.92
KMI_6414,2018,3,Maart,39.58
KMI_6414,2018,4,April,47.39
KMI_6414,2018,5,Mei,120.52
KMI_6414,2018,6,Juni,0.0
KMI_6414,2018,7,Juli,0.53
KMI_6414,2018,8,Augustus,164.27
KMI_6414,2018,9,September,70.78
KMI_6414,2018,10,Oktober,32.02
KMI_6414,2018,11,November,5.08
KMI_6414,2018,12,December,36.24
KMI_6414,2019,1,Januari,29.02
KMI_6414,2019,2,Februari,16.44
KMI_6414,2019,3,Maart,44.34
KMI_6414,2019,4,April,7.19
KMI_6414,2019,5,Mei,33.15
KMI_6414,2019,6,Juni,319.61
KMI_6414,2019,7,Juli,39.71
KMI_6414,2019,8,Augustus,135.6
KMI_6414,2019,9,September,247.46
KMI_6414,2019,10,Oktober,84.23
KMI_6414,2019,11,November,54.19
KMI_6414,2019,12,December,51.1
KMI_6414,2020,1,Januari,12.76
KMI_6414,2020,2,Februari,87.87
KMI_6414,2020,3,Maart,40.66
KMI_6414,2020,4,April,44.2
KMI_6414,2020,5,Mei,0.65
KMI_6414,2020,6,Juni,62.82
KMI_6414,2020,7,Juli,5.67
