station,jaar,periode,erosiviteit
KMI_6414,2007,6,13.3
KMI_6414,2007,7,0.0
KMI_6414,2007,8,0.0
KMI_6414,2007,9,12.5
KMI_6414,2007,10,20.44
KMI_6414,2007,11,20.57
KMI_6414,2007,12,786.36
KMI_6414,2007,13,207.98
KMI_6414,2007,14,229.57
KMI_6414,2007,15,11.43
KMI_6414,2007,16,41.77
KMI_6414,2007,17,4.3
KMI_6414,2007,18,138.65
KMI_6414,2007,19,52.19
KMI_6414,2007,20,5.11
KMI_6414,2007,21,8.74
KMI_6414,2007,22,10.02
KMI_6414,2007,23,27.51
KMI_6414,2007,24,1.95
KMI_6414,2008,1,10.66
KMI_6414,2008,2,24.06
KMI_6414,2008,3,30.91
KMI_6414,2008,4,3.85
KMI_6414,2008,5,24.37
KMI_6414,2008,6,18.24
KMI_6414,2008,7,0.77
KMI_6414,2008,8,8.29
KMI_6414,2008,9,197.5
KMI_6414,2008,10,34.16
KMI_6414,2008,11,115.67
KMI_6414,2008,12,0.0
KMI_6414,2008,13,21.96
KMI_6414,2008,14,251.48
KMI_6414,2008,15,207.51
KMI_6414,2008,16,79.24
KMI_6414,2008,17,188.05
KMI_6414,2008,18,10.72
KMI_6414,2008,19,21.37
KMI_6414,2008,20,6.95
KMI_6414,2008,21,51.63
KMI_6414,2008,22,15.62
KMI_6414,2008,23,37.83
KMI_6414,2008,24,0.0
KMI_6414,2009,1,0.87
KMI_6414,2009,2,23.77
KMI_6414,2009,3,27.51
KMI_6414,2009,4,0.59
KMI_6414,2009,5,29.67
KMI_6414,2009,6,79.51
KMI_6414,2009,7,8.18
KMI_6414,2009,8,15.28
KMI_6414,2009,9,1409.6
KMI_6414,2009,10,33.97
KMI_6414,2009,11,278.54
KMI_6414,2009,12,0.19
KMI_6414,2009,13,14.6
KMI_6414,2009,14,154.62
KMI_6414,2009,15,3.86
KMI_6414,2009,16,0.0
KMI_6414,2009,17,19.41
KMI_6414,2009,18,0.0
KMI_6414,2009,19,322.15
KMI_6414,2009,20,3.22
KMI_6414,2009,21,60.99
KMI_6414,2009,22,172.97
KMI_6414,2009,23,12.44
KMI_6414,2009,24,16.38
KMI_6414,2010,1,0.95
KMI_6414,2010,2,13.25
KMI_6414,2010,3,2.55
KMI_6414,2010,4,25.19
KMI_6414,2010,5,0.0
KMI_6414,2010,6,61.41
KMI_6414,2010,7,19.74
KMI_6414,2010,8,6.73
KMI_6414,2010,9,1.45
KMI_6414,2010,10,29.65
KMI_6414,2010,11,53.23
KMI_6414,2010,12,0.17
KMI_6414,2010,13,315.11
KMI_6414,2010,14,35.4
KMI_6414,2010,15,171.12
KMI_6414,2010,16,216.02
KMI_6414,2010,17,94.36
KMI_6414,2010,18,91.75
KMI_6414,2010,19,22.83
KMI_6414,2010,20,25.49
KMI_6414,2010,21,70.85
KMI_6414,2010,22,33.39
KMI_6414,2010,23,8.68
KMI_6414,2010,24,0.96
KMI_6414,2012,1,19.76
KMI_6414,2012,2,9.05
KMI_6414,2012,3,2.81
KMI_6414,2012,4,0.0
KMI_6414,2012,5,59.63
KMI_6414,2012,6,0.0
KMI_6414,2012,7,4.15
KMI_6414,2012,8,67.64
KMI_6414,2012,9,83.44
KMI_6414,2012,10,0.25
KMI_6414,2012,11,49.96
KMI_6414,2012,12,90.29
KMI_6414,2012,13,217.49
KMI_6414,2012,14,387.67
KMI_6414,2012,15,5.16
KMI_6414,2012,16,3.24
KMI_6414,2012,17,3.5
KMI_6414,2012,18,21.28
KMI_6414,2012,19,80.65
KMI_6414,2012,20,75.43
KMI_6414,2012,21,38.19
KMI_6414,2012,22,5.73
KMI_6414,2012,23,25.68
KMI_6414,2012,24,41.42
KMI_6414,2013,1,6.57
KMI_6414,2013,2,24.47
KMI_6414,2013,3,16.46
KMI_6414,2013,4,0.38
KMI_6414,2013,5,18.45
KMI_6414,2013,6,10.47
KMI_6414,2013,7,3.83
KMI_6414,2013,8,0.47
KMI_6414,2013,9,41.04
KMI_6414,2013,10,33.0
KMI_6414,2013,11,0.0
KMI_6414,2013,12,19.12
KMI_6414,2013,13,13.66
KMI_6414,2013,14,196.98
KMI_6414,2013,15,0.46
KMI_6414,2013,16,280.51
KMI_6414,2013,17,153.14
KMI_6414,2013,18,33.23
KMI_6414,2013,19,190.16
KMI_6414,2013,20,18.63
KMI_6414,2013,21,61.15
KMI_6414,2013,22,10.76
KMI_6414,2013,23,1.73
KMI_6414,2013,24,12.43
KMI_6414,2014,1,19.59
KMI_6414,2014,2,13.67
KMI_6414,2014,3,21.41
KMI_6414,2014,4,5.33
KMI_6414,2014,5,6.41
KMI_6414,2014,6,11.5
KMI_6414,2014,7,28.44
KMI_6414,2014,8,5.72
KMI_6414,2014,9,22.26
KMI_6414,2014,10,105.92
KMI_6414,2014,11,420.67
KMI_6414,2014,12,9.67
KMI_6414,2014,13,107.53
KMI_6414,2014,14,550.05
KMI_6414,2014,15,14.19
KMI_6414,2014,16,68.9
KMI_6414,2014,17,0.0
KMI_6414,2014,18,2.42
KMI_6414,2014,19,37.73
KMI_6414,2014,20,32.05
KMI_6414,2014,21,89.63
KMI_6414,2014,22,0.72
KMI_6414,2014,23,25.97
KMI_6414,2014,24,26.23
KMI_6414,2015,1,81.55
KMI_6414,2015,2,24.85
KMI_6414,2015,3,0.0
KMI_6414,2015,4,14.67
KMI_6414,2015,5,0.42
KMI_6414,2015,6,14.09
KMI_6414,2015,7,6.54
KMI_6414,2015,8,0.25
KMI_6414,2015,9,35.1
KMI_6414,2015,10,21.25
KMI_6414,2015,11,12.06
KMI_6414,2015,12,0.0
KMI_6414,2015,13,22.74
KMI_6414,2015,14,42.05
KMI_6414,2015,15,572.31
KMI_6414,2015,16,85.13
KMI_6414,2015,17,101.58
