observatie,datum,property,waarde,eenheid,locatie,procedure
http://example.org/peilmeting_2008-03-14filterstatus,2008-03-14,http://example.org/filterstatus,in rust,,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/visuele_controle
http://example.org/peilmeting_2008-03-14zoet,2008-03-14,http://example.org/zoet,N,,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/smaaktest
http://example.org/peilmeting_2008-03-14diepte_tov_referentiepunt,2008-03-14,http://example.org/diepte_tov_referentiepunt,1.2,http://qudt.org/vocab/unit#Meter,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/Onbekend_methode
http://example.org/peilmeting_2006-11-27filterstatus,2006-11-27,http://example.org/filterstatus,in rust,,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/visuele_controle
http://example.org/peilmeting_2006-11-27zoet,2006-11-27,http://example.org/zoet,N,,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/smaaktest
http://example.org/peilmeting_2006-11-27peil_mtaw,2006-11-27,http://example.org/peil_mtaw,8.53,http://qudt.org/vocab/unit#Meter,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/peillint_methode
http://example.org/peilmeting_2006-11-27filtertoestand,2006-11-27,http://example.org/filtertoestand,1,,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/visueel_methode
http://example.org/peilmeting_2006-11-27diepte_tov_referentiepunt,2006-11-27,http://example.org/diepte_tov_referentiepunt,1.25,http://qudt.org/vocab/unit#Meter,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/peillint_methode
http://example.org/peilmeting_2016-07-26diepte_tov_referentiepunt,2016-07-26,http://example.org/diepte_tov_referentiepunt,1.98,http://qudt.org/vocab/unit#Meter,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/peillint_methode
http://example.org/peilmeting_2016-07-26zoet,2016-07-26,http://example.org/zoet,N,,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/smaaktest
http://example.org/peilmeting_2016-07-26peil_mtaw,2016-07-26,http://example.org/peil_mtaw,7.80,http://qudt.org/vocab/unit#Meter,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/peillint_methode
http://example.org/peilmeting_2016-07-26filterstatus,2016-07-26,http://example.org/filterstatus,in rust,,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/visuele_controle
http://example.org/peilmeting_2016-07-26filtertoestand,2016-07-26,http://example.org/filtertoestand,1,,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/visueel_methode
http://example.org/peilmeting_2013-08-27filterstatus,2013-08-27,http://example.org/filterstatus,in rust,,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/visuele_controle
http://example.org/peilmeting_2013-08-27diepte_tov_referentiepunt,2013-08-27,http://example.org/diepte_tov_referentiepunt,2.42,http://qudt.org/vocab/unit#Meter,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/peillint_methode
http://example.org/peilmeting_2013-08-27filtertoestand,2013-08-27,http://example.org/filtertoestand,1,,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/visueel_methode
http://example.org/peilmeting_2013-08-27peil_mtaw,2013-08-27,http://example.org/peil_mtaw,7.36,http://qudt.org/vocab/unit#Meter,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/peillint_methode
http://example.org/peilmeting_2013-08-27zoet,2013-08-27,http://example.org/zoet,N,,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/smaaktest
http://example.org/peilmeting_2007-04-19filterstatus,2007-04-19,http://example.org/filterstatus,in rust,,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/visuele_controle
http://example.org/peilmeting_2007-04-19filtertoestand,2007-04-19,http://example.org/filtertoestand,1,,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/visueel_methode
http://example.org/peilmeting_2007-04-19peil_mtaw,2007-04-19,http://example.org/peil_mtaw,8.18,http://qudt.org/vocab/unit#Meter,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/peillint_methode
http://example.org/peilmeting_2007-04-19diepte_tov_referentiepunt,2007-04-19,http://example.org/diepte_tov_referentiepunt,1.6,http://qudt.org/vocab/unit#Meter,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/peillint_methode
http://example.org/peilmeting_2007-04-19zoet,2007-04-19,http://example.org/zoet,N,,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/smaaktest
http://example.org/peilmeting_2021-10-25filterstatus,2021-10-25,http://example.org/filterstatus,in rust,,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/visuele_controle
http://example.org/peilmeting_2021-10-25zoet,2021-10-25,http://example.org/zoet,N,,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/smaaktest
http://example.org/peilmeting_2021-10-25peil_mtaw,2021-10-25,http://example.org/peil_mtaw,7.50,http://qudt.org/vocab/unit#Meter,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/peillint_methode
http://example.org/peilmeting_2021-10-25filtertoestand,2021-10-25,http://example.org/filtertoestand,1,,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/visueel_methode
http://example.org/peilmeting_2021-10-25diepte_tov_referentiepunt,2021-10-25,http://example.org/diepte_tov_referentiepunt,2.28,http://qudt.org/vocab/unit#Meter,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/peillint_methode
http://example.org/peilmeting_2021-03-24peil_mtaw,2021-03-24,http://example.org/peil_mtaw,8.52,http://qudt.org/vocab/unit#Meter,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/peillint_methode
http://example.org/peilmeting_2021-03-24filtertoestand,2021-03-24,http://example.org/filtertoestand,1,,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/visueel_methode
http://example.org/peilmeting_2021-03-24diepte_tov_referentiepunt,2021-03-24,http://example.org/diepte_tov_referentiepunt,1.26,http://qudt.org/vocab/unit#Meter,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/peillint_methode
http://example.org/peilmeting_2021-03-24filterstatus,2021-03-24,http://example.org/filterstatus,in rust,,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/visuele_controle
http://example.org/peilmeting_2021-03-24zoet,2021-03-24,http://example.org/zoet,N,,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/smaaktest
http://example.org/peilmeting_2024-01-30diepte_tov_referentiepunt,2024-01-30,http://example.org/diepte_tov_referentiepunt,0.95,http://qudt.org/vocab/unit#Meter,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/peillint_methode
http://example.org/peilmeting_2024-01-30peil_mtaw,2024-01-30,http://example.org/peil_mtaw,8.83,http://qudt.org/vocab/unit#Meter,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/peillint_methode
http://example.org/peilmeting_2024-01-30filterstatus,2024-01-30,http://example.org/filterstatus,in rust,,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/visuele_controle
http://example.org/peilmeting_2024-01-30filtertoestand,2024-01-30,http://example.org/filtertoestand,1,,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/visueel_methode
http://example.org/peilmeting_2024-01-30zoet,2024-01-30,http://example.org/zoet,N,,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/smaaktest
http://example.org/peilmeting_2009-05-20peil_mtaw,2009-05-20,http://example.org/peil_mtaw,7.91,http://qudt.org/vocab/unit#Meter,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/peillint_methode
http://example.org/peilmeting_2009-05-20filterstatus,2009-05-20,http://example.org/filterstatus,in rust,,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/visuele_controle
http://example.org/peilmeting_2009-05-20diepte_tov_referentiepunt,2009-05-20,http://example.org/diepte_tov_referentiepunt,1.87,http://qudt.org/vocab/unit#Meter,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/peillint_methode
http://example.org/peilmeting_2009-05-20filtertoestand,2009-05-20,http://example.org/filtertoestand,1,,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/visueel_methode
http://example.org/peilmeting_2009-05-20zoet,2009-05-20,http://example.org/zoet,N,,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/smaaktest
http://example.org/peilmeting_2008-05-13peil_mtaw,2008-05-13,http://example.org/peil_mtaw,8.33,http://qudt.org/vocab/unit#Meter,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/peillint_methode
http://example.org/peilmeting_2008-05-13zoet,2008-05-13,http://example.org/zoet,N,,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/smaaktest
http://example.org/peilmeting_2008-05-13filtertoestand,2008-05-13,http://example.org/filtertoestand,1,,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/visueel_methode
http://example.org/peilmeting_2008-05-13diepte_tov_referentiepunt,2008-05-13,http://example.org/diepte_tov_referentiepunt,1.45,http://qudt.org/vocab/unit#Meter,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/peillint_methode
http://example.org/peilmeting_2008-05-13filterstatus,2008-05-13,http://example.org/filterstatus,in rust,,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/visuele_controle
http://example.org/peilmeting_2018-07-25filtertoestand,2018-07-25,http://example.org/filtertoestand,1,,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/visueel_methode
http://example.org/peilmeting_2018-07-25diepte_tov_referentiepunt,2018-07-25,http://example.org/diepte_tov_referentiepunt,2.67,http://qudt.org/vocab/unit#Meter,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/peillint_methode
http://example.org/peilmeting_2018-07-25filterstatus,2018-07-25,http://example.org/filterstatus,in rust,,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/visuele_controle
http://example.org/peilmeting_2018-07-25peil_mtaw,2018-07-25,http://example.org/peil_mtaw,7.11,http://qudt.org/vocab/unit#Meter,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/peillint_methode
http://example.org/peilmeting_2018-07-25zoet,2018-07-25,http://example.org/zoet,N,,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/smaaktest
http://example.org/peilmeting_2009-12-18diepte_tov_referentiepunt,2009-12-18,http://example.org/diepte_tov_referentiepunt,1.25,http://qudt.org/vocab/unit#Meter,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/peillint_methode
http://example.org/peilmeting_2009-12-18filterstatus,2009-12-18,http://example.org/filterstatus,in rust,,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/visuele_controle
http://example.org/peilmeting_2009-12-18zoet,2009-12-18,http://example.org/zoet,N,,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/smaaktest
http://example.org/peilmeting_2009-12-18filtertoestand,2009-12-18,http://example.org/filtertoestand,1,,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/visueel_methode
http://example.org/peilmeting_2009-12-18peil_mtaw,2009-12-18,http://example.org/peil_mtaw,8.53,http://qudt.org/vocab/unit#Meter,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/peillint_methode
http://example.org/peilmeting_2014-07-31peil_mtaw,2014-07-31,http://example.org/peil_mtaw,7.66,http://qudt.org/vocab/unit#Meter,https://www.dov.vlaanderen.be/data/put/2017-003450,http://example.org/peillint_methode
